id,question,option_A,option_B,option_C,option_D,correct_answer
12,下列文句畫底線處的詞語，運用適當的是：,醫護人員秉持著視民如傷的同理心來為民眾 服務,收音機、印刷鉛字如明日黃花，只能掬一把時代的眼淚,我們要及早江心補漏，在颱 風季節到來以前做好防颱的工作,魔幻武俠劇以擲地有聲的音效，搭配目眩神迷的畫面，創造 影視新巔峰。,B
13,下列圖書，依《四庫全書》「經、史、子、集」的分類，都屬於「經」部的選項是,《道 德經》、《南華經》、《水經注》,《禮記》、《文心雕龍》、《呂氏春秋》,《論語》、《孟子》、《左 傳》,《貞觀政要》、《易經》、《詩經》。,C
14,下列各組「」內的字，讀音完全相同的是,肉「燥」拌麵／鼓「譟」喧譁／稍安勿「躁」,部「署」就緒／清晨「曙」光／政府官「署」,一「撮」頭髮／「撮」把泥巴／「撮」合 成交,「鍥」而不捨／默「契」十足／帶「挈」晚輩。,C
15,桃園市政府行文給考試院的公文，文中提到「考試院」應如何稱之：,鈞院,貴院,台端,大院。,D
16,"By the time we arrived, the awards ______ to the winners of the competition.",gave,had given,were given,had been given。,D
17,He continued to pursue his passion for painting ______ the lack of support from his parents.,owing to,though,despite,since。,C
18,You can use the meeting room for your presentation ______ you book it in advance.,as soon as,as well as,as much as,as long as。,D
19,Look! Kelly is _________ something in Daniel’s ear. She must be telling a secret to him.,announcing,whispering,declaring,roaring。,B
20,"Though Lucy is tortured by lung cancer, she still tries her best to realize her dream. Her _________ against the disease has moved those around her.",harmony,struggle,agreement,consensus。,B
21,Those who are interested in magic can _________ in this activity. Welcome to join us.,block,divert,participate,switch。,C
22,"The children excitedly _____ their new LEGO set, carefully following the instructions to construct an elaborate spaceship with all the intricate details.",implement,assemble,operate,estimate。,B
23,The world-renowned entrepreneur’s _____ speech at the graduation ceremony left the audience deeply moved and inspired.,arrogant,eloquent,furious,prevailing。,B
24,"Based on current market trends, the company's financial _______ for the next quarter showed promising growth.",duration,prescription,projection,exhibition。,C
25,"Barry’s insensitive comments ______ anger and disappointment among his colleagues, leading to a tense atmosphere in the office.",enforced,disdained,concealed,provoked。,D
26,"When facing a complex problem, we’d better to ______ breaking it down into smaller, more manageable tasks for a clearer solution.",resort to,attend to,conform to,attribute to。,A
27,Michelle had her hair cut yesterday. Her new hairstyle looks _________ on her.,good,well,best,nicely。,A
28,"In today’s meeting, there are many things to discuss, _________ let’s begin without any delay.",therefore,yet,or,so。,D
29,"Since _________ of us like spicy food, let’s order food without chilies.",neither,both,each,either。,A
30,"_________ in haste, this article contains many spelling mistakes and illogical arguments. I’m afraid you must revise it thoroughly.",Write,Writing,Written,To write。,C
31,"Hank finished a roller coaster ride just now, with his heart _________ very fast.",beat,beating,beaten,to beat。,B
32,"Challenging ______ the project may be, the team is determined to overcome every obstacle.",for,as,to,but。,B
33,"The secretary attached noticeable stickers to label the dates on the portfolio, ______ easier to organize the files.",which made her,thus it would be,so that she is,making it。,D
34,"So far this female novelist has published five novels, all of _________ are shortlisted for literary prizes.",them,these,what,which。,D
35,"Though Andy has learned English for ten years, he still has difficulty _________ with others using English.",communicate,to communicate,communicated,communicating。,D
36,請依數列的規律填入空格的數字：0，2，6，12，20，30，_____，56，72,48,42,36,32。,B
37,阿銘有紅、黃、藍、綠四種顏色的彈珠，這些彈珠之中除了三個不是紅的，其他都是紅的； 除了三個不是黃的，其他都是黃的；除了三個不是藍的，其他都是藍的；除了三個不是綠的，其 他都是綠的，請問他共有幾個彈珠？,4,5,8,11。,A
38,已知𝑎 ⋇ 𝑏 = 2𝑎 2 − 𝑎𝑏 − 𝑎 + 7892，則下列何者數字最大？,1 ⋇ 2,2 ⋇ 3,3 ⋇ 4,4 ⋇ 5。,D
39,想要用正方形鋪滿長 51 公分，寬 187 公分的長方形區域，且正方形不重疊，請問最少需要多 少個全等的正方形？,3,33,561,9537。,B
40,按英文字母 A、B、C、……、Z 順序排列，使得 A＝－1，B＝－2，C＝－3，……，Z＝－26， 當英文字母寫在一起時就代表由左而右連續相乘，例如：AB＝A×B＝(－1)×(－2)，MATH＝M× A×T×H＝(－13)×(－1)×(－20)×(－8)，依此類推，則下列哪個單字所計算出來的值最大？,TAOYUAN,AIRPORT,TICKET,STATION。,C
41,小美在計算器上輸入她自己的生日的月份之後乘以 8，得到 A。然後她再加 12，得到 B。接 著她再乘以 25，等於 C。最後，她再加上她自己生日的日期，等於 2717。請問小美的生日是幾 月幾日？,2 月 7 日,7 月 14 日,9 月 8 日,12 月 17 日。,D
43,高一甲班 50 人，在某次抽考國、英、數三科成績中，已知國文 13 人不及格，英文 12 人不及 格，數學 16 人不及格，又知國英兩科不及格有 4 人，英數兩科不及格有 5 人，國數兩科不及格 有 7 人，三科均不及格的有 3 人。請問至少一科不及格有幾人？,41,31,28,25。,C
44,生活中有許多事物都是十二所組成，像是十二生肖、十二指腸、十二宮…。考慮 JFMAMJ＿ ASOND 其中＿應填入哪個英文字母？,C,G,J,T。,C
45,桌上有兩杯 100 毫升的原汁飲料，一杯為橘子汁、一杯為葡萄汁。若拿湯匙從橘子汁中舀一 匙到葡萄汁的杯子裡並且攪拌均勻，此時再將葡萄汁舀一匙到橘子汁的杯子裡並且攪拌均勻，則 下列敘述何者正確？,橘子汁裡的葡萄濃度比葡萄汁裡的橘子濃度高,橘子汁裡的葡萄濃 度比葡萄汁裡的橘子濃度低,橘子汁裡的葡萄濃度與葡萄汁裡的橘子濃度一樣,橘子汁裡 的葡萄濃度與葡萄汁裡的橘子濃度無法比較。,C
46,小柚正在學習寫字，但是筆畫順序一直沒學好，今天學校教了「永」 這個字的筆畫順序。「永」字有八筆：點、橫、豎、鉤、挑（或提）、 彎、撇、捺，按各自的筆勢以八字概括為側、勒、弩（又作努）、趯、 策、掠、啄、磔。這八筆是楷書基本筆畫，每筆各有特色，而又互相 呼應，一氣呵成。如李溥光《雪庵八法》稱：「磔法之妙，在險橫三過， 而開揭其勢力。」小柚只記得三件事：「側」是第一筆畫；「勒」「努」 「趯」是接續寫的；「策」「掠」是接續著寫的，請問小柚寫對筆畫順 序的機率為何？,1 / 6,1 / 8,1 / 12,1 / 24。,D
47,在一張空白的紙畫一條線可以將白紙分成兩個區域，請問在一張空白的紙畫三條線不可能分 成幾個區域？,八個,七個,五個,四個。,A
48,已知甲、乙、丙三人同一年出生，請問三人中至少有兩人在同一個月份出生的機率為何？,11/72,17/72,37/72,55/72。,B
49,一年之中，有的月份是 31 天，有的月份是 30 天，而二月有可能是 28 天或 29 天。不論是哪 個月份都至少有四個星期日，最多也只能有五個星期日。那麼，一年最多能有幾個月份有五個星 期日呢？,3,4,5,6。,C
50,"小柚與他的五個兄弟的年齡分別為 3, 5, 7, 9, 11 及 13 歲。某天小柚的兩位年齡和為 16 的兄弟 一起去看電影，兩位年齡都小於 10 歲的兄弟一起去打球，小柚與 5 歲的兄弟待在家裡，請問小 柚是幾歲？",3,7,9,11。,D
